Estadisticas Selecciones Mundial 2026
Ranking fifa;Pais;Tecnico;Federacion;Confederacion;Goles Favor;Goles Contra;Partidos Ganados;Partidos Empatados;Partidos Perdidos
16;United States;Mauricio Pochettino;U.S. Soccer Federation;Concacaf;93;96;22;20;25
1;France;Didier Deschamps;French Football Federation;UEFA;151;109;46;11;24
2;Spain;Luis de la Fuente;Royal Spanish Football Federation;UEFA;159;125;46;10;27
3;Argentina;Lionel Scaloni;Argentina Football Association;CONMEBOL;158;134;42;9;33
4;England;Thomas Tuchel;The Football Association;UEFA;87;84;29;10;27
5;Portugal;Roberto Martinez;Portuguese Football Federation;UEFA;85;88;27;14;25
6;Brazil;Dorival Junior;Brazilian Football Confederation;CONMEBOL;152;112;46;13;28
7;Netherlands;Ronald Koeman;Royal Dutch Football Association;UEFA;169;115;57;13;23
8;Belgium;Rudi Garcia;Royal Belgian Football Association;UEFA;146;94;48;15;17
9;Germany;Julian Nagelsmann;German Football Association;UEFA;162;99;50;19;17
10;Italy;Luciano Spalletti;Italian Football Federation;UEFA;141;94;44;16;19
11;Morocco;Walid Regragui;Royal Moroccan Football Federation;CAF;138;98;42;14;27
12;Uruguay;Marcelo Bielsa;Uruguayan Football Association;CONMEBOL;127;110;46;12;29
13;Colombia;Nestor Lorenzo;Colombian Football Federation;CONMEBOL;126;92;46;14;28
14;Croatia;Zlatko Dalic;Croatian Football Federation;UEFA;157;133;41;10;28
15;Mexico;Javier Aguirre;Mexican Football Federation;Concacaf;111;108;31;15;29
17;Japan;Hajime Moriyasu;Japan Football Association;AFC;173;100;46;12;20
18;Iran;Amir Ghalenoei;Football Federation Islamic Republic of Iran;AFC;93;97;28;15;29
19;Senegal;Pape Thiaw;Senegalese Football Federation;CAF;112;104;38;12;25
20;Denmark;Brian Riemer;Danish Football Association;UEFA;133;96;42;15;23
22;Austria;Ralf Rangnick;Austrian Football Association;UEFA;80;99;22;11;32
23;Korea Republic;Hong Myung-bo;Korea Football Association;AFC;102;92;27;17;24
25;Australia;Tony Popovic;Football Australia;AFC;88;96;25;6;33
26;Turkey;Vincenzo Montella;Turkish Football Federation;UEFA;79;88;22;18;28
27;Serbia;Dragan Stojkovic;Football Association of Serbia;UEFA;99;112;29;12;29
28;Sweden;Jon Dahl Tomasson;Swedish Football Association;UEFA;117;97;38;15;26
29;Egypt;Hossam Hassan;Egyptian Football Association;CAF;145;111;41;10;24
30;Canada;Jesse Marsch;Canada Soccer;Concacaf;113;104;35;10;29
31;Paraguay;Gustavo Alfaro;Paraguayan Football Association;CONMEBOL;64;73;24;14;27
32;Panama;Thomas Christiansen;Panamanian Football Federation;Concacaf;49;81;20;17;30
34;Nigeria;Eric Chelle;Nigeria Football Federation;CAF;70;116;12;15;33
36;Costa Rica;Miguel Herrera;Costa Rican Football Federation;Concacaf;91;103;27;11;32
37;Tunisia;Sabri Lamouchi;Tunisian Football Federation;CAF;111;84;36;16;26
41;Czech Republic;Ivan Hasek;Football Association of the Czech Republic;UEFA;81;87;25;16;29
43;Qatar;Julen Lopetegui;Qatar Football Association;AFC;146;139;39;10;32
45;Cameroon;Marc Brys;Cameroonian Football Federation;CAF;108;108;27;13;30
46;Scotland;Steve Clarke;Scottish Football Association;UEFA;102;124;26;15;30
47;Uzbekistan;Timur Kapadze;Uzbekistan Football Association;AFC;102;106;27;17;26
50;South Africa;Hugo Broos;South African Football Association;CAF;128;98;44;13;24
51;Saudi Arabia;Herve Renard;Saudi Arabian Football Federation;AFC;115;115;40;11;29
52;Bosnia and Herzegovina;Sergej Barbarez;Football Association of Bosnia and Herzegovina;UEFA;59;84;15;11;35
53;Iraq;Jesus Casas;Iraq Football Association;AFC;60;92;16;14;31
54;Jordan;Jamal Sellami;Jordan Football Association;AFC;125;110;36;11;26
55;Ghana;Otto Addo;Ghana Football Association;CAF;104;101;27;7;31
56;DR Congo;Sebastien Desabre;Congolese Association Football Federation;CAF;71;93;24;16;29
57;Haiti;Sebastien Migne;Haitian Football Federation;Concacaf;92;116;26;12;32
58;New Zealand;Darren Bazeley;New Zealand Football;OFC;157;111;40;19;19
59;Cabo Verde;Bubista;Cape Verdean Football Federation;CAF;107;100;28;10;31
